"YEAR", "DDD", "MM", "DD", "HH", "mm", "hh_mmm", "ZNAGL", "dw_psp", "qc", "uw_psp", "qc", "direct", "qc", "diffuse", "qc", "dw_pir", "qc", "dwCasTmp", "qc", "dwDomTmp", "qc", "uw_pir", "qc", "uwCastmp", "qc", "uwDomtmp", "qc", "uvb", "qc", "par", "qc", "netSolar", "qc", "netIr", "qc", "totalNet", "qc", "temp", "qc", "rh", "qc", "windSp", "qc", "winsDir", "qc", "Baro", "qc"
1995,1,1,1,3,15,3.250,141.73,-6.1,0,-0.2,0,-0.9,0,-9999.9,1,316.7,0,276.1,0,275.5,0,313.5,0,272.9,0,273.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,3,18,3.300,142.28,-6.6,0,-0.2,0,-0.8,0,-9999.9,1,316.5,0,276.1,0,275.5,0,313.8,0,273.0,0,273.0,0,0.0,0,0.4,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,3,21,3.350,142.84,-6.2,0,-0.2,0,-0.9,0,-9999.9,1,316.4,0,276.1,0,275.5,0,313.4,0,272.9,0,273.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,3,24,3.400,143.39,-6.2,0,-0.2,0,-0.9,0,-9999.9,1,316.2,0,276.1,0,275.5,0,313.3,0,272.9,0,273.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,3,27,3.450,143.94,-6.2,0,-0.2,0,-1.0,0,-9999.9,1,316.1,0,276.1,0,275.5,0,313.3,0,272.9,0,273.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,3,30,3.500,144.49,-6.3,0,-0.1,0,-0.8,0,-9999.9,1,315.9,0,276.1,0,275.5,0,313.2,0,272.9,0,273.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,3,33,3.550,145.04,-6.1,0,-0.2,0,-0.9,0,-9999.9,1,315.9,0,276.1,0,275.5,0,313.3,0,272.9,0,273.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,3,36,3.600,145.58,-6.1,0,-0.2,0,-0.8,0,-9999.9,1,315.8,0,276.1,0,275.5,0,313.4,0,272.9,0,273.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,3,39,3.650,146.12,-5.9,0,-0.2,0,-0.8,0,-9999.9,1,315.9,0,276.1,0,275.5,0,313.3,0,272.9,0,273.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,3,42,3.700,146.66,-5.9,0,-0.2,0,-0.8,0,-9999.9,1,315.6,0,276.1,0,275.5,0,313.3,0,272.9,0,273.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,3,45,3.750,147.20,-5.9,0,-0.2,0,-0.8,0,-9999.9,1,315.7,0,276.1,0,275.5,0,313.3,0,272.9,0,273.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,3,48,3.800,147.73,-5.9,0,-0.1,0,-0.8,0,-9999.9,1,315.6,0,276.1,0,275.5,0,313.4,0,272.9,0,273.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,3,51,3.850,148.26,-6.1,0,-0.2,0,-0.7,0,-9999.9,1,315.6,0,276.1,0,275.5,0,313.2,0,272.9,0,273.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,3,54,3.900,148.79,-6.0,0,-0.2,0,-0.8,0,-9999.9,1,315.5,0,276.1,0,275.5,0,313.3,0,272.9,0,273.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,3,57,3.950,149.32,-5.9,0,-0.1,0,-0.8,0,-9999.9,1,315.4,0,276.1,0,275.5,0,313.3,0,272.9,0,273.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,4,0,4.000,149.84,-6.4,0,-0.1,0,-0.6,0,-9999.9,1,315.2,0,276.1,0,275.5,0,313.6,0,272.9,0,273.0,0,0.0,0,0.4,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,4,3,4.050,150.35,-6.1,0,-0.1,0,-0.8,0,-9999.9,1,315.3,0,276.1,0,275.5,0,313.4,0,272.9,0,273.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
